id,sprint,sprint_number,name,description,deliverable_type,priority,assigned_to,assignee_short,start_date,due_date,scheduled_month,status,is_monthly_report,is_heavy_batch,is_strategy,is_placeholder,auto_tracked,content_subtype,link_subtype,tags,category,action_type,urls
,Sprint 5 (Links),5,Build 6 links — Month 5,"Acquire 6 links this month, distributed across target pages:

  1. /grinding-clenching-and-headaches  ·  'teeth clenching treatment melbourne' (pos 17.1837, 0 ref domains)
  2. /grinding-clenching-and-headaches  ·  'teeth clenching treatment melbourne' (pos 17.1837, 0 ref domains)
  3. /grinding-clenching-and-headaches  ·  'teeth clenching treatment melbourne' (pos 17.1837, 0 ref domains)
  4. /hygiene  ·  'dental hygiene port melbourne' (pos 22.7938, 0 ref domains)
  5. /hygiene  ·  'dental hygiene port melbourne' (pos 22.7938, 0 ref domains)
  6. /hygiene  ·  'dental hygiene port melbourne' (pos 22.7938, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2026-12-01,2026-12-31,5,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 6,"Acquire 6 links this month, distributed across target pages:

  1. /myofunctional-therapy  ·  'myofunctional therapy melbourne' (pos 20.6916, 0 ref domains)
  2. /myofunctional-therapy  ·  'myofunctional therapy melbourne' (pos 20.6916, 0 ref domains)
  3. /myofunctional-therapy  ·  'myofunctional therapy melbourne' (pos 20.6916, 0 ref domains)
  4. /natural-looking-cosmetic-dentistry-port-melbourne-veneers-ageing  ·  'cosmetic dentist port melbourne' (pos 16.8571, 0 ref domains)
  5. /natural-looking-cosmetic-dentistry-port-melbourne-veneers-ageing  ·  'cosmetic dentist port melbourne' (pos 16.8571, 0 ref domains)
  6. /natural-looking-cosmetic-dentistry-port-melbourne-veneers-ageing  ·  'cosmetic dentist port melbourne' (pos 16.8571, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-01-01,2027-01-31,6,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 7,"Acquire 6 links this month, distributed across target pages:

  1. /poor-oral-hygiene-is-linked-to-alzheimers  ·  'oral health and dementia' (pos 10.1337, 0 ref domains)
  2. /poor-oral-hygiene-is-linked-to-alzheimers  ·  'oral health and dementia' (pos 10.1337, 0 ref domains)
  3. /poor-oral-hygiene-is-linked-to-alzheimers  ·  'oral health and dementia' (pos 10.1337, 0 ref domains)
  4. /carbon-neutral-dentistry-100-greenpowered  ·  'eco friendly dentist melbourne' (pos ?, 0 ref domains)
  5. /carbon-neutral-dentistry-100-greenpowered  ·  'eco friendly dentist melbourne' (pos ?, 0 ref domains)
  6. /carbon-neutral-dentistry-100-greenpowered  ·  'eco friendly dentist melbourne' (pos ?, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-02-01,2027-02-28,7,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 8,"Acquire 6 links this month, distributed across target pages:

  1. /crowns  ·  'dental crowns port melbourne' (pos 46.2928, 0 ref domains)
  2. /crowns  ·  'dental crowns port melbourne' (pos 46.2928, 0 ref domains)
  3. /crowns  ·  'dental crowns port melbourne' (pos 46.2928, 0 ref domains)
  4. /emergency-dentistry  ·  'emergency dentist port melbourne' (pos 41.4386, 0 ref domains)
  5. /emergency-dentistry  ·  'emergency dentist port melbourne' (pos 41.4386, 0 ref domains)
  6. /emergency-dentistry  ·  'emergency dentist port melbourne' (pos 41.4386, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-03-01,2027-03-31,8,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 9,"Acquire 6 links this month, distributed across target pages:

  1. /fillings-and-restorations  ·  'dental fillings port melbourne' (pos ?, 0 ref domains)
  2. /fillings-and-restorations  ·  'dental fillings port melbourne' (pos ?, 0 ref domains)
  3. /fillings-and-restorations  ·  'dental fillings port melbourne' (pos ?, 0 ref domains)
  4. /implants  ·  'dental implants melbourne' (pos 58.6667, 0 ref domains)
  5. /implants  ·  'dental implants melbourne' (pos 58.6667, 0 ref domains)
  6. /implants  ·  'dental implants melbourne' (pos 58.6667, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-04-01,2027-04-30,9,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 10,"Acquire 6 links this month, distributed across target pages:

  1. /porcelain-onlays  ·  'porcelain onlays melbourne' (pos ?, 0 ref domains)
  2. /porcelain-onlays  ·  'porcelain onlays melbourne' (pos ?, 0 ref domains)
  3. /porcelain-onlays  ·  'porcelain onlays melbourne' (pos ?, 0 ref domains)
  4. /sleep-dentistry-support  ·  'sleep dentistry melbourne' (pos ?, 0 ref domains)
  5. /sleep-dentistry-support  ·  'sleep dentistry melbourne' (pos ?, 0 ref domains)
  6. /sleep-dentistry-support  ·  'sleep dentistry melbourne' (pos ?, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-05-01,2027-05-31,10,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 11,"Acquire 6 links this month, distributed across target pages:

  1. /teeth-whitening  ·  'teeth whitening port melbourne' (pos ?, 0 ref domains)
  2. /teeth-whitening  ·  'teeth whitening port melbourne' (pos ?, 0 ref domains)
  3. /tmd-tmj-clenching-grinding-headache-melbourne  ·  'tmj treatment melbourne' (pos 31.2857, 0 ref domains)
  4. /tmd-tmj-clenching-grinding-headache-melbourne  ·  'tmj treatment melbourne' (pos 31.2857, 0 ref domains)
  5. /veneers  ·  'veneers port melbourne' (pos 45.329, 0 ref domains)
  6. /veneers  ·  'veneers port melbourne' (pos 45.329, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-06-01,2027-06-30,11,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 5 (Links),5,Build 6 links — Month 12,"Acquire 6 links this month, distributed across target pages:

  1. /zoom-whitening-2011-special  ·  'zoom teeth whitening melbourne' (pos 43.4091, 0 ref domains)
  2. /zoom-whitening-2011-special  ·  'zoom teeth whitening melbourne' (pos 43.4091, 0 ref domains)
  3. /our-team  ·  'dentist port melbourne' (pos 23.527, 0 ref domains)
  4. /our-team  ·  'dentist port melbourne' (pos 23.527, 0 ref domains)
  5. /tooth-pain-after-filling  ·  'pain after filling' (pos 7.0, 0 ref domains)
  6. /tooth-pain-after-filling  ·  'pain after filling' (pos 7.0, 0 ref domains)

Tactics to mix: digital PR, niche-edit / link insertion outreach, podcast appearances, guest posts, sponsored placements. Track every outcome in the central link DB.",Link,P2,dame@smileandgrow.com.au,dame,2027-07-01,2027-07-31,12,pending,False,True,False,False,False,,,"heavy-batch, link, p2",Link,Link batch,
,Sprint 6 (Reporting),6,Analytics Audit — conversion tracking + measurement setup,"Foundational analytics audit — verify the measurement layer is trustworthy before any monthly reporting is meaningful. Focus on conversion plumbing:
  · GA4 conversion events — firing reliably, flagged as conversions
  · Call-tracking integrations (WhatConverts / CallRail): DNI, attribution, event push-through
  · Form tracking — submission events, lead source attribution
  · CRM integration (HubSpot / Salesforce / Pipedrive) — sources tagged correctly
  · GA4 ↔ GSC link active
  · Cross-domain / subdomain tracking gaps
  · GBP Insights accessibility
  · Note any tracking holes that would invalidate monthly reports.

Output: short Loom + written summary of what's wired, what's broken, and what needs fixing before Month 1 reporting.",Reporting,P1,dame@smileandgrow.com.au,dame,2026-08-28,2026-09-07,1,pending,False,False,False,False,False,,,"p1, reporting",Reporting,Analytics Audit,
,Sprint 6 (Reporting),6,WQA Refresh — Mid-engagement Audit (Month 6),"Re-run a mini-WQA to recalibrate the plan at Month 6.
  · Fresh SF crawl + Ahrefs pull
  · Compare current performance vs the initial WQA baseline
  · Score what's working (content/links/technical) and what's not
  · Update the next-6-months roadmap (or close-out report at M12)
  · Strategist-approval pass on any new recommendations
Output: WQA Refresh deck + revised plan (mid) or final close-out (end).",Reporting,P1,dame@smileandgrow.com.au,dame,2027-01-01,2027-01-31,6,pending,False,False,False,False,False,,,"p1, reporting",Reporting,WQA Refresh,
,Sprint 6 (Reporting),6,WQA Refresh — End-of-engagement Audit (Month 12),"Re-run a mini-WQA to recalibrate the plan at Month 12.
  · Fresh SF crawl + Ahrefs pull
  · Compare current performance vs the initial WQA baseline
  · Score what's working (content/links/technical) and what's not
  · Update the next-6-months roadmap (or close-out report at M12)
  · Strategist-approval pass on any new recommendations
Output: WQA Refresh deck + revised plan (mid) or final close-out (end).",Reporting,P1,dame@smileandgrow.com.au,dame,2027-07-01,2027-07-31,12,pending,False,False,False,False,False,,,"p1, reporting",Reporting,WQA Refresh,
,Sprint 6 (Reporting),6,Client Check-in — Month 2 (covers Month 1 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 1): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 2 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-07,2,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 3 (covers Month 2 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 2): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 3 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2026-10-01,2026-10-07,3,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 4 (covers Month 3 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 3): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 4 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2026-11-01,2026-11-07,4,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 5 (covers Month 4 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 4): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 5 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2026-12-01,2026-12-07,5,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 6 (covers Month 5 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 5): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 6 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-01-01,2027-01-07,6,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 7 (covers Month 6 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 6): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 7 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-02-01,2027-02-07,7,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 8 (covers Month 7 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 7): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 8 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-03-01,2027-03-07,8,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 9 (covers Month 8 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 8): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 9 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-04-01,2027-04-07,9,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 10 (covers Month 9 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 9): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 10 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-05-01,2027-05-07,10,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 11 (covers Month 10 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 10): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 11 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-06-01,2027-06-07,11,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
,Sprint 6 (Reporting),6,Client Check-in — Month 12 (covers Month 11 performance),"Monthly check-in with the client. Three components:

  1. Monthly Report (covering Month 11): GA4 organic + total traffic, GSC clicks/impressions/position deltas, GBP (if local), deliverables completed vs scheduled, live content + links shipped.
  2. Analysis writeup: what moved and why, what to double down on, recommendations for next month's focus.
  3. Optional client call: offer a 30-min walkthrough; if declined, send the deck + analysis by email.

Scheduled the first 7 days of Month 12 so the prior month's data has settled.",Client Check-in,P1,dame@smileandgrow.com.au,dame,2027-07-01,2027-07-07,12,pending,True,False,False,False,False,,,"client-check-in, monthly-report, p1",Reporting,Client Check-in,
